checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,problematic_delay,checkout_status
mobile,ended,108.0,,,False,Delay ≥ 60
mobile,ended,-38.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,-208.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,-35.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,73.0,,,False,Delay ≥ 60
connect,ended,73.0,,,False,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,129.0,,,False,Delay ≥ 60
connect,ended,-709.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,-30.0,,,False,on time
mobile,ended,15.0,,,False,10 ≤ Delay < 60 mins
mobile,canceled,0.0,,,False,on time
mobile,ended,30.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-14.0,,,False,on time
mobile,ended,-444.0,,,False,on time
mobile,ended,33.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,0.0,,,False,on time
mobile,canceled,0.0,,,False,on time
connect,ended,-83.0,,,False,on time
connect,ended,-432.0,,,False,on time
mobile,ended,-16.0,,,False,on time
connect,ended,25.0,567278.0,60.0,True,10 ≤ Delay < 60 mins
mobile,ended,0.0,,,False,on time
connect,ended,27.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-47.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,99.0,554558.0,660.0,True,Delay ≥ 60
mobile,ended,4.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,90.0,,,False,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
mobile,ended,20.0,564484.0,180.0,True,10 ≤ Delay < 60 mins
mobile,canceled,0.0,,,False,on time
mobile,ended,10.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,69.0,555024.0,420.0,True,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
mobile,ended,335.0,,,False,Delay ≥ 60
mobile,canceled,0.0,552005.0,150.0,True,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,-20.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,403.0,,,False,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
mobile,ended,1.0,,,False,1 ≤ Delay < 10 mins
mobile,canceled,0.0,,,False,on time
connect,ended,-167.0,,,False,on time
mobile,ended,136.0,,,False,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
mobile,ended,62.0,,,False,Delay ≥ 60
mobile,ended,-55.0,,,False,on time
mobile,ended,-100.0,,,False,on time
mobile,ended,-80.0,,,False,on time
mobile,ended,41.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,45.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,436.0,,,False,Delay ≥ 60
mobile,ended,-43.0,,,False,on time
connect,ended,-155.0,,,False,on time
mobile,ended,-3.0,,,False,on time
mobile,ended,42.0,,,False,10 ≤ Delay < 60 mins
connect,ended,-1.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,-10.0,,,False,on time
mobile,ended,15.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,7.0,,,False,1 ≤ Delay < 10 mins
mobile,canceled,0.0,,,False,on time
mobile,ended,181.0,,,False,Delay ≥ 60
mobile,ended,14.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,0.0,,,False,on time
mobile,ended,7.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,-10.0,,,False,on time
connect,canceled,0.0,,,False,on time
mobile,ended,-52.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,-34.0,,,False,on time
connect,ended,162.0,,,False,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,946.0,,,False,Delay ≥ 60
mobile,ended,-12.0,,,False,on time
connect,ended,-76.0,,,False,on time
mobile,ended,1.0,536236.0,390.0,True,1 ≤ Delay < 10 mins
mobile,ended,-20.0,,,False,on time
mobile,ended,-17.0,,,False,on time
connect,ended,-154.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,-53.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,300.0,,,False,Delay ≥ 60
mobile,ended,-25.0,,,False,on time
mobile,ended,-15.0,545830.0,120.0,True,on time
connect,ended,9.0,,,False,1 ≤ Delay < 10 mins
mobile,canceled,0.0,,,False,on time
mobile,ended,22.0,,,False,10 ≤ Delay < 60 mins
mobile,canceled,0.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,28.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,106.0,,,False,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
mobile,ended,3.0,,,False,1 ≤ Delay < 10 mins
mobile,canceled,0.0,,,False,on time
mobile,ended,10.0,565896.0,360.0,True,10 ≤ Delay < 60 mins
mobile,canceled,0.0,,,False,on time
mobile,ended,-169.0,,,False,on time
mobile,ended,-67.0,,,False,on time
mobile,ended,-101.0,,,False,on time
mobile,ended,14.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-19.0,,,False,on time
mobile,ended,0.0,,,False,on time
connect,canceled,0.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,9.0,,,False,1 ≤ Delay < 10 mins
mobile,canceled,0.0,,,False,on time
mobile,ended,-54.0,,,False,on time
connect,ended,0.0,,,False,on time
mobile,ended,-138.0,,,False,on time
mobile,ended,38.0,,,False,10 ≤ Delay < 60 mins
mobile,canceled,0.0,,,False,on time
mobile,ended,6.0,,,False,1 ≤ Delay < 10 mins
